#,Name,Reaction,Rate Law
1,Ca binding to CamR site A,CamR + Ca -> CamR_Ca1_A,Mass action (irreversible)
2,Ca binding to CamR site B,CamR + Ca -> CamR_Ca1_B,Mass action (irreversible)
3,Ca binding to CamR site C,CamR + Ca -> CamR_Ca1_C,Mass action (irreversible)
4,Ca binding to CamR site D,CamR + Ca -> CamR_Ca1_D,Mass action (irreversible)
5,Ca dissociating from CamR_Ca1_A site A,CamR_Ca1_A -> CamR + Ca,Mass action (irreversible)
6,Ca dissociating from CamR_Ca1_B site B,CamR_Ca1_B -> CamR + Ca,Mass action (irreversible)
7,Ca dissociating from CamR_Ca1_C site C,CamR_Ca1_C -> CamR + Ca,Mass action (irreversible)
8,Ca dissociating from CamR_Ca1_D site D,CamR_Ca1_D -> CamR + Ca,Mass action (irreversible)
9,Ca binding to CamR_Ca1_A site B,CamR_Ca1_A + Ca -> CamR_Ca2_AB,Mass action (irreversible)
10,Ca binding to CamR_Ca1_A site C,CamR_Ca1_A + Ca -> CamR_Ca2_AC,Mass action (irreversible)
11,Ca binding to CamR_Ca1_A site D,CamR_Ca1_A + Ca -> CamR_Ca2_AD,Mass action (irreversible)
12,Ca binding to CamR_Ca1_B site A,CamR_Ca1_B + Ca -> CamR_Ca2_AB,Mass action (irreversible)
13,Ca binding to CamR_Ca1_B site C,CamR_Ca1_B + Ca -> CamR_Ca2_BC,Mass action (irreversible)
14,Ca binding to CamR_Ca1_B site D,CamR_Ca1_B + Ca -> CamR_Ca2_BD,Mass action (irreversible)
15,Ca binding to CamR_Ca1_C site A,CamR_Ca1_C + Ca -> CamR_Ca2_AC,Mass action (irreversible)
16,Ca binding to CamR_Ca1_C site B,CamR_Ca1_C + Ca -> CamR_Ca2_BC,Mass action (irreversible)
17,Ca binding to CamR_Ca1_C site D,CamR_Ca1_C + Ca -> CamR_Ca2_CD,Mass action (irreversible)
18,Ca binding to CamR_Ca1_D site A,CamR_Ca1_D + Ca -> CamR_Ca2_AD,Mass action (irreversible)
19,Ca binding to CamR_Ca1_D site B,CamR_Ca1_D + Ca -> CamR_Ca2_BD,Mass action (irreversible)
20,Ca binding to CamR_Ca1_D site C,CamR_Ca1_D + Ca -> CamR_Ca2_CD,Mass action (irreversible)
21,Ca dissociating from CamR_Ca2_AB site B,CamR_Ca2_AB -> CamR_Ca1_A + Ca,Mass action (irreversible)
22,Ca dissociating from CamR_Ca2_AC site C,CamR_Ca2_AC -> CamR_Ca1_A + Ca,Mass action (irreversible)
23,Ca dissociating from CamR_Ca2_AD site D,CamR_Ca2_AD -> CamR_Ca1_A + Ca,Mass action (irreversible)
24,Ca dissociating from CamR_Ca2_AB site A,CamR_Ca2_AB -> CamR_Ca1_B + Ca,Mass action (irreversible)
25,Ca dissociating from CamR_Ca2_BC site C,CamR_Ca2_BC -> CamR_Ca1_B + Ca,Mass action (irreversible)
26,Ca dissociating from CamR_Ca2_BD site D,CamR_Ca2_BD -> CamR_Ca1_B + Ca,Mass action (irreversible)
27,Ca dissociating from CamR_Ca2_AC site A,CamR_Ca2_AC -> CamR_Ca1_C + Ca,Mass action (irreversible)
28,Ca dissociating from CamR_Ca2_BC site B,CamR_Ca2_BC -> CamR_Ca1_C + Ca,Mass action (irreversible)
29,Ca dissociating from CamR_Ca2_CD site D,CamR_Ca2_CD -> CamR_Ca1_C + Ca,Mass action (irreversible)
30,Ca dissociating from CamR_Ca2_AD site A,CamR_Ca2_AD -> CamR_Ca1_D + Ca,Mass action (irreversible)
31,Ca dissociating from CamR_Ca2_BD site B,CamR_Ca2_BD -> CamR_Ca1_D + Ca,Mass action (irreversible)
32,Ca dissociating from CamR_Ca2_CD site C,CamR_Ca2_CD -> CamR_Ca1_D + Ca,Mass action (irreversible)
33,Ca binding to CamR_Ca2_AB site C,CamR_Ca2_AB + Ca -> CamR_Ca3_ABC,Mass action (irreversible)
34,Ca binding to CamR_Ca2_AB site D,CamR_Ca2_AB + Ca -> CamR_Ca3_ABD,Mass action (irreversible)
