Time	[Ca]	Values[AMPAR_bar]	Values[CaMKII_active_ratio]	Values[CaMKIIp_bar]	Values[CamCaMKII_bar]	Values[CamR_ratio]	Values[Dp_bar]	Values[PKA_bar]	Values[PP1a_bar]	Values[PP2B_bar]
0	2.036e-09	0.296952	0.0685097	0.0173513	0.159733	0.0481013	0.973102	0.01	0.155246	0.00302147
0.001	5.75417e-09	0.296952	0.0685097	0.0173513	0.159733	0.0481013	0.973102	0.01	0.155246	0.00302147
0.002	3.55345e-09	0.296952	0.0685097	0.0173513	0.159733	0.0481014	0.973102	0.01	0.155246	0.00302147
0.003	2.68676e-09	0.296952	0.0685098	0.0173513	0.159733	0.0481015	0.973102	0.01	0.155246	0.00302147
0.004	2.21972e-09	0.296952	0.0685099	0.0173513	0.159733	0.0481016	0.973102	0.01	0.155246	0.00302148
0.005	1.93621e-09	0.296952	0.0685099	0.0173513	0.159733	0.0481016	0.973102	0.01	0.155246	0.00302148
0.006	1.75112e-09	0.296952	0.06851	0.0173513	0.159734	0.0481016	0.973102	0.01	0.155246	0.00302148
0.007	1.62501e-09	0.296952	0.06851	0.0173513	0.159734	0.0481017	0.973102	0.01	0.155246	0.00302149
0.008	1.53695e-09	0.296952	0.0685101	0.0173513	0.159734	0.0481017	0.973102	0.01	0.155246	0.00302149
0.009	1.47466e-09	0.296952	0.0685101	0.0173513	0.159734	0.0481017	0.973102	0.01	0.155246	0.00302149
0.01	1.43047e-09	0.296952	0.0685102	0.0173513	0.159734	0.0481017	0.973102	0.01	0.155246	0.0030215
0.011	1.39937e-09	0.296952	0.0685102	0.0173513	0.159734	0.0481017	0.973102	0.01	0.155246	0.0030215
0.012	1.37804e-09	0.296952	0.0685102	0.0173513	0.159734	0.0481017	0.973102	0.01	0.155246	0.0030215
0.013	1.36425e-09	0.296952	0.0685102	0.0173513	0.159734	0.0481017	0.973102	0.01	0.155246	0.0030215
0.014	1.35645e-09	0.296952	0.0685102	0.0173513	0.159734	0.0481017	0.973102	0.01	0.155246	0.0030215
0.015	1.3536e-09	0.296952	0.0685102	0.0173513	0.159734	0.0481017	0.973102	0.01	0.155246	0.00302151
0.016	1.35493e-09	0.296952	0.0685102	0.0173513	0.159734	0.0481016	0.973102	0.01	0.155246	0.00302151
0.017	1.35991e-09	0.296952	0.0685102	0.0173513	0.159734	0.0481016	0.973102	0.01	0.155246	0.0030215
0.018	1.36816e-09	0.296952	0.0685102	0.0173513	0.159734	0.0481016	0.973102	0.01	0.155246	0.0030215
0.019	1.37941e-09	0.296952	0.0685102	0.0173513	0.159734	0.0481015	0.973102	0.01	0.155246	0.0030215
0.02	1.39343e-09	0.296952	0.0685102	0.0173513	0.159734	0.0481015	0.973102	0.01	0.155246	0.0030215
0.021	1.41009e-09	0.296952	0.0685101	0.0173513	0.159734	0.0481015	0.973102	0.01	0.155246	0.0030215
0.022	1.42926e-09	0.296952	0.0685101	0.0173513	0.159734	0.0481014	0.973102	0.01	0.155246	0.0030215
0.023	1.45088e-09	0.296952	0.0685101	0.0173513	0.159734	0.0481014	0.973102	0.01	0.155246	0.00302149
0.024	1.47488e-09	0.296952	0.06851	0.0173513	0.159734	0.0481013	0.973102	0.01	0.155246	0.00302149
0.025	1.50124e-09	0.296952	0.06851	0.0173513	0.159733	0.0481013	0.973102	0.01	0.155246	0.00302149
0.026	1.52995e-09	0.296952	0.0685099	0.0173513	0.159733	0.0481012	0.973102	0.01	0.155246	0.00302148
0.027	1.56102e-09	0.296952	0.0685098	0.0173513	0.159733	0.0481011	0.973102	0.01	0.155246	0.00302148
0.028	1.59448e-09	0.296952	0.0685098	0.0173513	0.159733	0.0481011	0.973102	0.01	0.155246	0.00302147
0.029	1.6304e-09	0.296952	0.0685097	0.0173513	0.159733	0.048101	0.973102	0.01	0.155246	0.00302147
0.03	1.66888e-09	0.296952	0.0685096	0.0173513	0.159733	0.048101	0.973102	0.01	0.155246	0.00302146
0.031	1.71003e-09	0.296952	0.0685095	0.0173513	0.159733	0.0481009	0.973102	0.01	0.155246	0.00302146
0.032	1.75404e-09	0.296952	0.0685095	0.0173513	0.159732	0.0481008	0.973102	0.01	0.155246	0.00302145
0.033	1.80112e-09	0.296952	0.0685094	0.0173513	0.159732	0.0481008	0.973102	0.01	0.155246	0.00302145
0.034	1.85155e-09	0.296952	0.0685093	0.0173513	0.159732	0.0481007	0.973102	0.01	0.155246	0.00302144
0.035	1.90572e-09	0.296952	0.0685092	0.0173513	0.159732	0.0481006	0.973102	0.01	0.155246	0.00302143
0.036	1.96412e-09	0.296952	0.0685091	0.0173513	0.159732	0.0481006	0.973102	0.01	0.155246	0.00302143
0.037	2.02743e-09	0.296952	0.0685091	0.0173513	0.159731	0.0481005	0.973102	0.01	0.155246	0.00302142
0.038	2.09658e-09	0.296952	0.068509	0.0173513	0.159731	0.0481005	0.973102	0.01	0.155246	0.00302142
0.039	2.17286e-09	0.296952	0.0685089	0.0173513	0.159731	0.0481004	0.973102	0.01	0.155246	0.00302141
0.04	2.25817e-09	0.296952	0.0685088	0.0173513	0.159731	0.0481004	0.973102	0.01	0.155246	0.0030214
0.041	2.35544e-09	0.296952	0.0685087	0.0173513	0.159731	0.0481003	0.973102	0.01	0.155246	0.0030214
0.042	2.46959e-09	0.296952	0.0685086	0.0173513	0.15973	0.0481003	0.973102	0.01	0.155246	0.00302139
0.043	2.60985e-09	0.296952	0.0685086	0.0173513	0.15973	0.0481002	0.973102	0.01	0.155246	0.00302139
0.044	2.79782e-09	0.296952	0.0685085	0.0173513	0.15973	0.0481002	0.973102	0.01	0.155246	0.00302138
0.045	3.12033e-09	0.296952	0.0685085	0.0173513	0.15973	0.0481002	0.973102	0.01	0.155246	0.00302138
0.046	7.64712e-09	0.296952	0.0685084	0.0173513	0.15973	0.0481002	0.973102	0.01	0.155246	0.00302137
0.047	5.75147e-09	0.296952	0.0685084	0.0173513	0.15973	0.0481004	0.973102	0.01	0.155246	0.00302137
0.048	3.55729e-09	0.296952	0.0685084	0.0173513	0.15973	0.0481006	0.973102	0.01	0.155246	0.00302138
0.049	2.69097e-09	0.296952	0.0685085	0.0173513	0.15973	0.0481006	0.973102	0.01	0.155246	0.00302138
0.05	2.22352e-09	0.296952	0.0685086	0.0173513	0.15973	0.0481007	0.973102	0.01	0.155246	0.00302138
0.051	1.93945e-09	0.296952	0.0685086	0.0173513	0.15973	0.0481007	0.973102	0.01	0.155246	0.00302139
0.052	1.75385e-09	0.296952	0.0685087	0.0173513	0.159731	0.0481008	0.973102	0.01	0.155246	0.00302139
0.053	1.62731e-09	0.296952	0.0685088	0.0173513	0.159731	0.0481008	0.973102	0.01	0.155246	0.0030214
0.054	1.53892e-09	0.296952	0.0685088	0.0173513	0.159731	0.0481008	0.973102	0.01	0.155246	0.0030214
0.055	1.47638e-09	0.296952	0.0685089	0.0173513	0.159731	0.0481009	0.973102	0.01	0.155246	0.0030214
0.056	1.43198e-09	0.296952	0.0685089	0.0173513	0.159731	0.0481009	0.973102	0.01	0.155246	0.00302141
0.057	1.40071e-09	0.296952	0.068509	0.0173513	0.159731	0.0481009	0.973102	0.01	0.155246	0.00302141
0.058	1.37925e-09	0.296952	0.068509	0.0173513	0.159731	0.0481009	0.973102	0.01	0.155246	0.00302141
0.059	1.36534e-09	0.296952	0.068509	0.0173513	0.159731	0.0481009	0.973102	0.01	0.155246	0.00302142
0.06	1.35745e-09	0.296952	0.0685091	0.0173513	0.159731	0.0481009	0.973102	0.01	0.155246	0.00302142
0.061	1.3545e-09	0.296952	0.0685091	0.0173513	0.159731	0.0481009	0.973102	0.01	0.155246	0.00302142
0.062	1.35574e-09	0.296952	0.0685091	0.0173513	0.159731	0.0481008	0.973102	0.01	0.155246	0.00302142
0.063	1.36064e-09	0.296952	0.0685091	0.0173513	0.159731	0.0481008	0.973102	0.01	0.155246	0.00302142
0.064	1.3688e-09	0.296952	0.0685091	0.0173513	0.159731	0.0481008	0.973102	0.01	0.155246	0.00302142
0.065	1.37995e-09	0.296952	0.0685091	0.0173513	0.159731	0.0481008	0.973102	0.01	0.155246	0.00302142
0.066	1.39388e-09	0.296952	0.068509	0.0173513	0.159731	0.0481007	0.973102	0.01	0.155246	0.00302142
0.067	1.41044e-09	0.296952	0.068509	0.0173513	0.159731	0.0481007	0.973102	0.01	0.155246	0.00302141
0.068	1.42951e-09	0.296952	0.068509	0.0173513	0.159731	0.0481006	0.973102	0.01	0.155246	0.00302141
0.069	1.451e-09	0.296952	0.068509	0.0173513	0.159731	0.0481006	0.973102	0.01	0.155246	0.00302141
0.07	1.47488e-09	0.296952	0.0685089	0.0173513	0.159731	0.0481006	0.973102	0.01	0.155246	0.00302141
