,C1P1,C1P2,C1P3,C2P1,C2P2,C2P3,C3P1,C3P2,C3P3,Time
0,0.293335,0.296952,0.300535,0.237933,0.241982,0.24608000000000002,0.15118299999999998,0.154896,0.15873099999999998,0.0
1000,0.293567,0.297182,0.300764,0.238114,0.24216300000000002,0.246074,0.151294,0.155007,0.158841,1.0
2000,0.294501,0.298117,0.301699,0.23887600000000003,0.242925,0.246398,0.15179,0.155504,0.159339,2.0
3000,0.29572800000000005,0.299352,0.302942,0.239907,0.24396199999999998,0.24680700000000003,0.152498,0.156218,0.16005899999999998,3.0
4000,0.296967,0.300613,0.304226,0.24099600000000002,0.245067,0.24743400000000002,0.153306,0.15703699999999998,0.16089,4.0
5000,0.298067,0.301749,0.305398,0.242031,0.246129,0.248065,0.154149,0.1579,0.161772,5.0
6000,0.29895,0.302683,0.306386,0.24295100000000003,0.247088,0.24871,0.15499000000000002,0.158769,0.16267,6.0
7000,0.299583,0.303383,0.307156,0.243729,0.247916,0.24943,0.155807,0.159625,0.16356400000000001,7.0
8000,0.29995900000000003,0.303843,0.307701,0.24435199999999999,0.248604,0.250031,0.156588,0.16045399999999999,0.164443,8.0
9000,0.300085,0.30406700000000003,0.308028,0.24481799999999998,0.24914899999999998,0.250701,0.15732100000000002,0.161248,0.165297,9.0
10000,0.299975,0.30407,0.30815,0.245131,0.249554,0.251273,0.158003,0.162001,0.166123,10.0
11000,0.299648,0.30387,0.308085,0.245298,0.249825,0.25179,0.158629,0.162709,0.166917,11.0
12000,0.299125,0.30348800000000004,0.30785,0.24532600000000002,0.249971,0.252337,0.159196,0.16337100000000002,0.167675,12.0
13000,0.298427,0.302942,0.307467,0.24522600000000003,0.24999899999999997,0.252738,0.15970299999999998,0.163983,0.168397,13.0
14000,0.297575,0.302254,0.306954,0.24500500000000003,0.24991999999999998,0.253188,0.160148,0.164546,0.16908,14.0
15000,0.296589,0.301444,0.30633,0.24467600000000003,0.24974200000000002,0.25353400000000004,0.16053299999999998,0.16505799999999998,0.169725,15.0
16000,0.29549000000000003,0.300529,0.305612,0.244247,0.249475,0.253822,0.160857,0.16552,0.17033199999999998,16.0
17000,0.294296,0.299527,0.304818,0.243729,0.24912800000000002,0.25414000000000003,0.16112100000000001,0.165933,0.1709,17.0
18000,0.29302399999999995,0.298454,0.30396100000000004,0.24313099999999999,0.24870799999999998,0.254317,0.161327,0.166297,0.17143,18.0
19000,0.29169,0.297325,0.303058,0.24246199999999998,0.248225,0.254548,0.161477,0.166614,0.171922,19.0
20000,0.29030700000000004,0.296154,0.302119,0.241731,0.247687,0.254682,0.161572,0.166884,0.172378,20.0
21000,0.28889000000000004,0.294954,0.301157,0.240945,0.2471,0.254766,0.161614,0.16710999999999998,0.172798,21.0
22000,0.28744899999999995,0.293734,0.300183,0.240114,0.246471,0.254888,0.161607,0.167292,0.173184,22.0
23000,0.285995,0.292505,0.299205,0.23924299999999998,0.245808,0.254878,0.161552,0.167433,0.173536,23.0
24000,0.284538,0.291275,0.29823299999999997,0.23834,0.245117,0.254931,0.161451,0.167535,0.17385699999999998,24.0
