#,Name,     Type     ,Initial Value [Unit],Expression [Unit] or [Unit/s]
1,Cam_Ca0_total,assignment,0.000100001,[CamR]+[CamT]+[CamR_CaMKIIp]+[CamR_CaMKII]+[CamR_PP2B]+[Dp_CamR_PP2B]+[CamR_CaMKIIp_PP1a]
2,Cam_Ca0_total_ratio,assignment,3.333220561,Values[Cam_Ca0_total]/Values[Cam_total]
3,Cam_total,fixed,3.00E-05,
4,Cam_Ca1_total,assignment,0,Values[Free_Cam_Ca1_total]+Values[CaMKII_CamR_Ca1_total]+Values[Dp/0_PP2B_CamR_Ca1]
5,Cam_Ca1_total_ratio,assignment,0.00E+00,Values[Cam_Ca1_total]/Values[Cam_total]
6,Cam_Ca2_total,assignment,0,Values[Free_Cam_Ca2_total]+Values[CaMKII_CamR_Ca2_total]+Values[Dp/0_PP2B_CamR_Ca2]
7,Cam_Ca2_total_ratio,assignment,0.00E+00,Values[Cam_Ca2_total]/Values[Cam_total]
8,Cam_Ca3_total,assignment,0,Values[Free_CamR_Ca3_total]+Values[Dp/0_PP2B_CamR_Ca3]+Values[CaMKII_CamR_Ca3_total]
9,Cam_Ca3_total_ratio,assignment,0,Values[Cam_Ca3_total]/Values[Cam_total]
10,Cam_Ca4_total,assignment,0.00E+00,[CamR_Ca4_ABCD]+[CamT_Ca4_ABCD]+[CamR_Ca4_ABCD_CaMKII]+[CamR_Ca4_ABCD_PP2B]+[CamR_Ca4_ABCD_CaMKIIp]+[Dp_CamR_Ca4_ABCD_PP2B]+[CamR_Ca4_ABCD_CaMKIIp_PP1a]
11,Cam_Ca4_total_ratio,assignment,0,Values[Cam_Ca4_total]/Values[Cam_total]
12,CamCaMKII_bar,assignment,0,Values[CaMKII_bound_total]/Values[Cam_total]
13,CaMKII_CamR_Ca1_total,assignment,0,[CamR_Ca1_A_CaMKII]+[CamR_Ca1_B_CaMKII]+[CamR_Ca1_C_CaMKII]+[CamR_Ca1_D_CaMKII]+[CamR_Ca1_A_CaMKIIp]+[CamR_Ca1_B_CaMKIIp]+[CamR_Ca1_C_CaMKIIp]+[CamR_Ca1_D_CaMKIIp]+[CamR_Ca1_A_CaMKIIp_PP1a]+[CamR_Ca1_B_CaMKIIp_PP1a]+[CamR_Ca1_C_CaMKIIp_PP1a]+[CamR_Ca1_D_CaMKIIp_PP1a]
